[2025-12-22 15:59:55] LOGIN_ATTEMPT | User: Admin | IP: ::1 | Status: INVALID_CREDENTIALS | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap | HMAC: b7a088448311f08f515d4b9bbb1509ce5e037c1d7e6a883a769ecdd59e9eea96
[2025-12-22 16:00:14] LOGIN_2FA_SETUP_REQUIRED | User: admin | IP: ::1 | Status: SETUP_REQUIRED | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap | HMAC: 4a6e3f552b336b14998e60447e6e4c9af79721905035b1f7801c71ebf4d79507
[2025-12-22 16:20:48] LOGIN_ATTEMPT | User: Unknown | IP: 127.0.0.1 | Status: CSRF_FAIL | UA: Unknown | HMAC: 97a464a33e471d9385febdda61f5449a79d5806712a6e0477522e723e0d89b0c
[2025-12-22 16:20:59] LOGIN_ATTEMPT | User: Unknown | IP: 127.0.0.1 | Status: CSRF_FAIL | UA: Unknown | HMAC: 9e355d3268111990ae70df73a0a664faee495b7a15c9f3aa675cdb4b4267e56e
[2025-12-22 16:26:32] LOGIN_2FA_SETUP_REQUIRED | User: admin | IP: ::1 | Status: SETUP_REQUIRED | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap | HMAC: 194b46b7a3b4f7f917d3495b90b257c42a9be409d2a4894c3562a80e376eb763
[2025-12-22 16:26:55] LOGIN_ATTEMPT | User: admin | IP: ::1 | Status: INVALID_CREDENTIALS | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap | HMAC: bb0028cd5f90fec527f681a1a188dd2f29b36e62efd675b0229b0eb98b091412
[2025-12-22 16:27:07] LOGIN_2FA_SETUP_REQUIRED | User: admin | IP: ::1 | Status: SETUP_REQUIRED | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap | HMAC: b7e28969a19c692176fab1f417ffd84a8ffb18fe3f90939e3b567ec97ce28454
[2025-12-22 16:30:20] LOGIN_2FA_SETUP_REQUIRED | User: admin | IP: ::1 | Status: SETUP_REQUIRED | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap | HMAC: 8e375407086bd6f5822d01abaee2461a0b0d2c263240e7fc65e97b88f22b5990
[2025-12-22 19:12:19] LOGIN_2FA_PENDING | User: admin | IP: ::1 | Status: PENDING | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap | HMAC: f33908fe8f3fc7d5e9500347ca5e6e05dae15ee2e8d0d8e952a461ae71dff22c
